"chunk","average_score","score_sd"
1,1,0
2,0.995,0.00707106781186548
3,0.996,0.00699205898780102
4,0.996,0.00516397779494323
5,0.996,0.00699205898780102
6,0.964,0.0222111083319436
7,1,0
8,1,0
9,0.994,0.00843274042711569
10,0.685,0.0368932393686311
11,0.844,0.0245854518861143
12,0.917,0.0312872000806862
13,0.998,0.00421637021355784
14,0.987,0.0105934990547138
15,0.971,0.0179195734076208
16,0.795,0.0422295315310664
17,0.94,0.0221108319357026
18,0.999,0.00316227766016838
19,0.936,0.0291356978445495
20,0.989,0.00875595035770914
21,0.985,0.00849836585598798
22,0.903,0.0305686840482943
23,0.996,0.00699205898780102
