Source,Target,Weight,Type
luc_phars_1,luc_phars_2,69,undirected
luc_phars_1,luc_phars_3,60,undirected
luc_phars_1,luc_phars_4,2,undirected
luc_phars_1,luc_phars_5,1,undirected
luc_phars_1,luc_phars_6,18,undirected
luc_phars_1,luc_phars_7,2,undirected
luc_phars_1,luc_phars_8,1,undirected
luc_phars_10,luc_phars_4,5,undirected
luc_phars_10,luc_phars_5,14,undirected
luc_phars_10,luc_phars_6,25,undirected
luc_phars_10,luc_phars_8,1,undirected
luc_phars_10,luc_phars_9,45,undirected
luc_phars_2,luc_phars_1,69,undirected
luc_phars_2,luc_phars_3,38,undirected
luc_phars_2,luc_phars_4,24,undirected
luc_phars_2,luc_phars_5,3,undirected
luc_phars_2,luc_phars_7,8,undirected
luc_phars_3,luc_phars_1,60,undirected
luc_phars_3,luc_phars_2,38,undirected
luc_phars_3,luc_phars_4,87,undirected
luc_phars_3,luc_phars_5,2,undirected
luc_phars_3,luc_phars_6,5,undirected
luc_phars_3,luc_phars_9,7,undirected
luc_phars_4,luc_phars_1,2,undirected
luc_phars_4,luc_phars_10,5,undirected
luc_phars_4,luc_phars_2,24,undirected
luc_phars_4,luc_phars_3,87,undirected
luc_phars_4,luc_phars_5,3,undirected
luc_phars_4,luc_phars_6,58,undirected
luc_phars_4,luc_phars_9,15,undirected
luc_phars_5,luc_phars_1,1,undirected
luc_phars_5,luc_phars_10,14,undirected
luc_phars_5,luc_phars_2,3,undirected
luc_phars_5,luc_phars_3,2,undirected
luc_phars_5,luc_phars_4,3,undirected
luc_phars_5,luc_phars_6,49,undirected
luc_phars_5,luc_phars_7,11,undirected
luc_phars_5,luc_phars_8,38,undirected
luc_phars_5,luc_phars_9,53,undirected
luc_phars_6,luc_phars_1,18,undirected
luc_phars_6,luc_phars_10,25,undirected
luc_phars_6,luc_phars_3,5,undirected
luc_phars_6,luc_phars_4,58,undirected
luc_phars_6,luc_phars_5,49,undirected
luc_phars_6,luc_phars_7,49,undirected
luc_phars_6,luc_phars_8,12,undirected
luc_phars_6,luc_phars_9,90,undirected
luc_phars_7,luc_phars_1,2,undirected
luc_phars_7,luc_phars_2,8,undirected
luc_phars_7,luc_phars_5,11,undirected
luc_phars_7,luc_phars_6,49,undirected
luc_phars_7,luc_phars_8,30,undirected
luc_phars_8,luc_phars_1,1,undirected
luc_phars_8,luc_phars_10,1,undirected
luc_phars_8,luc_phars_5,38,undirected
luc_phars_8,luc_phars_6,12,undirected
luc_phars_8,luc_phars_7,30,undirected
luc_phars_8,luc_phars_9,75,undirected
luc_phars_9,luc_phars_10,45,undirected
luc_phars_9,luc_phars_3,7,undirected
luc_phars_9,luc_phars_4,15,undirected
luc_phars_9,luc_phars_5,53,undirected
luc_phars_9,luc_phars_6,90,undirected
luc_phars_9,luc_phars_8,75,undirected
sen_ag,sen_her_f,18,undirected
sen_ag,sen_oct,1,undirected
sen_ag,sen_oed,29,undirected
sen_ag,sen_phaed,35,undirected
sen_ag,sen_tro,19,undirected
sen_her_f,sen_ag,18,undirected
sen_her_f,sen_her_o,52,undirected
sen_her_f,sen_med,16,undirected
sen_her_f,sen_oed,76,undirected
sen_her_f,sen_phaed,74,undirected
sen_her_f,sen_phoen,16,undirected
sen_her_f,sen_thy,29,undirected
sen_her_f,sen_tro,58,undirected
sen_her_o,sen_her_f,52,undirected
sen_her_o,sen_med,14,undirected
sen_her_o,sen_phaed,23,undirected
sen_her_o,sen_thy,1,undirected
sen_her_o,sen_tro,8,undirected
sen_med,sen_her_f,16,undirected
sen_med,sen_her_o,14,undirected
sen_med,sen_oct,11,undirected
sen_med,sen_oed,2,undirected
sen_med,sen_phaed,45,undirected
sen_med,sen_phoen,41,undirected
sen_med,sen_thy,71,undirected
sen_med,sen_tro,3,undirected
sen_oct,sen_ag,1,undirected
sen_oct,sen_med,11,undirected
sen_oct,sen_oed,12,undirected
sen_oct,sen_phaed,36,undirected
sen_oct,sen_tro,30,undirected
sen_oed,sen_ag,29,undirected
sen_oed,sen_her_f,76,undirected
sen_oed,sen_med,2,undirected
sen_oed,sen_oct,12,undirected
sen_oed,sen_phaed,70,undirected
sen_oed,sen_thy,5,undirected
sen_oed,sen_tro,40,undirected
sen_phaed,sen_ag,35,undirected
sen_phaed,sen_her_f,74,undirected
