Source,Target,Weight,Type
sen_ag,sen_med,27,undirected
sen_ag,sen_oct,149,undirected
sen_ag,sen_oed,973,undirected
sen_ag,sen_phaed,496,undirected
sen_ag,sen_thy,96,undirected
sen_ag,sen_tro,724,undirected
sen_her_f,sen_her_o_chunk1,126,undirected
sen_her_f,sen_her_o_chunk2,563,undirected
sen_her_f,sen_med,22,undirected
sen_her_f,sen_oct,16,undirected
sen_her_f,sen_oed,537,undirected
sen_her_f,sen_phaed,914,undirected
sen_her_f,sen_thy,91,undirected
sen_her_f,sen_tro,172,undirected
sen_her_o_chunk1,sen_her_f,126,undirected
sen_her_o_chunk1,sen_her_o_chunk2,1146,undirected
sen_her_o_chunk1,sen_med,48,undirected
sen_her_o_chunk1,sen_oed,39,undirected
sen_her_o_chunk1,sen_phoen,3,undirected
sen_her_o_chunk1,sen_thy,1,undirected
sen_her_o_chunk1,sen_tro,514,undirected
sen_her_o_chunk2,sen_her_f,563,undirected
sen_her_o_chunk2,sen_her_o_chunk1,1146,undirected
sen_her_o_chunk2,sen_med,2,undirected
sen_her_o_chunk2,sen_phoen,80,undirected
sen_her_o_chunk2,sen_thy,15,undirected
sen_her_o_chunk2,sen_tro,119,undirected
sen_med,sen_ag,27,undirected
sen_med,sen_her_f,22,undirected
sen_med,sen_her_o_chunk1,48,undirected
sen_med,sen_her_o_chunk2,2,undirected
sen_med,sen_phaed,462,undirected
sen_med,sen_phoen,839,undirected
sen_med,sen_thy,485,undirected
sen_med,sen_tro,46,undirected
sen_oct,sen_ag,149,undirected
sen_oct,sen_her_f,16,undirected
sen_oct,sen_oed,201,undirected
sen_oct,sen_phaed,475,undirected
sen_oct,sen_phoen,208,undirected
sen_oct,sen_tro,375,undirected
sen_oed,sen_ag,973,undirected
sen_oed,sen_her_f,537,undirected
sen_oed,sen_her_o_chunk1,39,undirected
sen_oed,sen_oct,201,undirected
sen_oed,sen_phaed,1114,undirected
sen_oed,sen_thy,81,undirected
sen_oed,sen_tro,149,undirected
sen_phaed,sen_ag,496,undirected
sen_phaed,sen_her_f,914,undirected
sen_phaed,sen_med,462,undirected
sen_phaed,sen_oct,475,undirected
sen_phaed,sen_oed,1114,undirected
sen_phaed,sen_thy,93,undirected
sen_phaed,sen_tro,18,undirected
sen_phoen,sen_her_o_chunk1,3,undirected
sen_phoen,sen_her_o_chunk2,80,undirected
sen_phoen,sen_med,839,undirected
sen_phoen,sen_oct,208,undirected
sen_phoen,sen_thy,1134,undirected
sen_phoen,sen_tro,31,undirected
sen_thy,sen_ag,96,undirected
sen_thy,sen_her_f,91,undirected
sen_thy,sen_her_o_chunk1,1,undirected
sen_thy,sen_her_o_chunk2,15,undirected
sen_thy,sen_med,485,undirected
sen_thy,sen_oed,81,undirected
sen_thy,sen_phaed,93,undirected
sen_thy,sen_phoen,1134,undirected
sen_thy,sen_tro,22,undirected
sen_tro,sen_ag,724,undirected
sen_tro,sen_her_f,172,undirected
sen_tro,sen_her_o_chunk1,514,undirected
sen_tro,sen_her_o_chunk2,119,undirected
sen_tro,sen_med,46,undirected
sen_tro,sen_oct,375,undirected
sen_tro,sen_oed,149,undirected
sen_tro,sen_phaed,18,undirected
sen_tro,sen_phoen,31,undirected
sen_tro,sen_thy,22,undirected
