Source,Target,Weight,Type
luc_phars_1,luc_phars_2,62,undirected
luc_phars_1,luc_phars_3,66,undirected
luc_phars_1,luc_phars_4,2,undirected
luc_phars_1,luc_phars_7,43,undirected
luc_phars_10,luc_phars_2,10,undirected
luc_phars_10,luc_phars_7,10,undirected
luc_phars_10,luc_phars_8,88,undirected
luc_phars_10,luc_phars_9,69,undirected
luc_phars_2,luc_phars_1,62,undirected
luc_phars_2,luc_phars_10,10,undirected
luc_phars_2,luc_phars_3,79,undirected
luc_phars_2,luc_phars_4,65,undirected
luc_phars_2,luc_phars_7,92,undirected
luc_phars_2,luc_phars_8,21,undirected
luc_phars_2,luc_phars_9,1,undirected
luc_phars_3,luc_phars_1,66,undirected
luc_phars_3,luc_phars_2,79,undirected
luc_phars_3,luc_phars_4,120,undirected
luc_phars_3,luc_phars_6,8,undirected
luc_phars_3,luc_phars_7,2,undirected
luc_phars_4,luc_phars_1,2,undirected
luc_phars_4,luc_phars_2,65,undirected
luc_phars_4,luc_phars_3,120,undirected
luc_phars_4,luc_phars_6,58,undirected
luc_phars_4,luc_phars_7,10,undirected
luc_phars_4,luc_phars_9,1,undirected
luc_phars_6,luc_phars_3,8,undirected
luc_phars_6,luc_phars_4,58,undirected
luc_phars_6,luc_phars_7,48,undirected
luc_phars_6,luc_phars_9,81,undirected
luc_phars_7,luc_phars_1,43,undirected
luc_phars_7,luc_phars_10,10,undirected
luc_phars_7,luc_phars_2,92,undirected
luc_phars_7,luc_phars_3,2,undirected
luc_phars_7,luc_phars_4,10,undirected
luc_phars_7,luc_phars_6,48,undirected
luc_phars_7,luc_phars_8,30,undirected
luc_phars_8,luc_phars_10,88,undirected
luc_phars_8,luc_phars_2,21,undirected
luc_phars_8,luc_phars_7,30,undirected
luc_phars_8,luc_phars_9,114,undirected
luc_phars_9,luc_phars_10,69,undirected
luc_phars_9,luc_phars_2,1,undirected
luc_phars_9,luc_phars_4,1,undirected
luc_phars_9,luc_phars_6,81,undirected
luc_phars_9,luc_phars_8,114,undirected
sen_ag,sen_her_f,57,undirected
sen_ag,sen_med,19,undirected
sen_ag,sen_oct,45,undirected
sen_ag,sen_phaed,66,undirected
sen_ag,sen_thy,4,undirected
sen_her_f,sen_ag,57,undirected
sen_her_f,sen_her_o,120,undirected
sen_her_f,sen_med,9,undirected
sen_her_f,sen_oct,26,undirected
sen_her_f,sen_phaed,94,undirected
sen_her_f,sen_phoen,1,undirected
sen_her_f,sen_thy,16,undirected
sen_her_o,sen_her_f,120,undirected
sen_her_o,sen_med,71,undirected
sen_her_o,sen_oct,5,undirected
sen_her_o,sen_phaed,8,undirected
sen_her_o,sen_phoen,27,undirected
sen_her_o,sen_thy,46,undirected
sen_med,sen_ag,19,undirected
sen_med,sen_her_f,9,undirected
sen_med,sen_her_o,71,undirected
sen_med,sen_oct,2,undirected
sen_med,sen_phaed,100,undirected
sen_med,sen_phoen,66,undirected
sen_med,sen_thy,34,undirected
sen_oct,sen_ag,45,undirected
sen_oct,sen_her_f,26,undirected
sen_oct,sen_her_o,5,undirected
sen_oct,sen_med,2,undirected
sen_oct,sen_phaed,44,undirected
sen_phaed,sen_ag,66,undirected
sen_phaed,sen_her_f,94,undirected
sen_phaed,sen_her_o,8,undirected
sen_phaed,sen_med,100,undirected
sen_phaed,sen_oct,44,undirected
sen_phaed,sen_thy,4,undirected
sen_phoen,sen_her_f,1,undirected
sen_phoen,sen_her_o,27,undirected
sen_phoen,sen_med,66,undirected
sen_phoen,sen_thy,96,undirected
sen_thy,sen_ag,4,undirected
sen_thy,sen_her_f,16,undirected
sen_thy,sen_her_o,46,undirected
sen_thy,sen_med,34,undirected
sen_thy,sen_phaed,4,undirected
sen_thy,sen_phoen,96,undirected
stat_achill,stat_silv_2,4,undirected
stat_achill,stat_silv_3,29,undirected
stat_achill,stat_theb_11,7,undirected
stat_achill,stat_theb_12,7,undirected
stat_achill,stat_theb_4,8,undirected
stat_achill,stat_theb_6,34,undirected
stat_achill,stat_theb_7,42,undirected
stat_achill,stat_theb_9,7,undirected
stat_silv_1,stat_silv_2,74,undirected
stat_silv_1,stat_silv_3,120,undirected
stat_silv_1,stat_silv_4,91,undirected
stat_silv_1,stat_theb_12,1,undirected
stat_silv_2,stat_achill,4,undirected
stat_silv_2,stat_silv_1,74,undirected
stat_silv_2,stat_silv_3,50,undirected
stat_silv_2,stat_silv_4,50,undirected
stat_silv_2,stat_theb_9,1,undirected
stat_silv_3,stat_achill,29,undirected
stat_silv_3,stat_silv_1,120,undirected
stat_silv_3,stat_silv_2,50,undirected
stat_silv_3,stat_silv_4,84,undirected
stat_silv_4,stat_silv_1,91,undirected
stat_silv_4,stat_silv_2,50,undirected
stat_silv_4,stat_silv_3,84,undirected
stat_theb_1,stat_theb_2,62,undirected
stat_theb_1,stat_theb_3,4,undirected
stat_theb_1,stat_theb_4,40,undirected
stat_theb_1,stat_theb_5,34,undirected
stat_theb_10,stat_theb_11,120,undirected
stat_theb_10,stat_theb_12,34,undirected
stat_theb_10,stat_theb_2,45,undirected
stat_theb_10,stat_theb_3,55,undirected
stat_theb_10,stat_theb_4,9,undirected
stat_theb_10,stat_theb_5,51,undirected
stat_theb_10,stat_theb_6,8,undirected
stat_theb_10,stat_theb_7,41,undirected
stat_theb_10,stat_theb_9,3,undirected
stat_theb_11,stat_achill,7,undirected
stat_theb_11,stat_theb_10,120,undirected
stat_theb_11,stat_theb_12,87,undirected
stat_theb_11,stat_theb_2,1,undirected
stat_theb_11,stat_theb_3,7,undirected
stat_theb_11,stat_theb_7,35,undirected
stat_theb_11,stat_theb_9,34,undirected
stat_theb_12,stat_achill,7,undirected
stat_theb_12,stat_silv_1,1,undirected
stat_theb_12,stat_theb_10,34,undirected
stat_theb_12,stat_theb_11,87,undirected
stat_theb_12,stat_theb_3,15,undirected
stat_theb_12,stat_theb_6,2,undirected
stat_theb_12,stat_theb_7,9,undirected
stat_theb_2,stat_theb_1,62,undirected
stat_theb_2,stat_theb_10,45,undirected
stat_theb_2,stat_theb_11,1,undirected
stat_theb_2,stat_theb_3,25,undirected
stat_theb_2,stat_theb_4,18,undirected
stat_theb_2,stat_theb_5,20,undirected
stat_theb_3,stat_theb_1,4,undirected
stat_theb_3,stat_theb_10,55,undirected
stat_theb_3,stat_theb_11,7,undirected
stat_theb_3,stat_theb_12,15,undirected
stat_theb_3,stat_theb_2,25,undirected
stat_theb_3,stat_theb_4,17,undirected
stat_theb_3,stat_theb_5,89,undirected
stat_theb_3,stat_theb_6,2,undirected
stat_theb_4,stat_achill,8,undirected
stat_theb_4,stat_theb_1,40,undirected
stat_theb_4,stat_theb_10,9,undirected
stat_theb_4,stat_theb_2,18,undirected
stat_theb_4,stat_theb_3,17,undirected
stat_theb_4,stat_theb_5,113,undirected
stat_theb_4,stat_theb_6,5,undirected
stat_theb_4,stat_theb_7,33,undirected
stat_theb_4,stat_theb_9,19,undirected
stat_theb_5,stat_theb_1,34,undirected
stat_theb_5,stat_theb_10,51,undirected
stat_theb_5,stat_theb_2,20,undirected
stat_theb_5,stat_theb_3,89,undirected
stat_theb_5,stat_theb_4,113,undirected
stat_theb_5,stat_theb_6,11,undirected
stat_theb_5,stat_theb_9,2,undirected
stat_theb_6,stat_achill,34,undirected
stat_theb_6,stat_theb_10,8,undirected
stat_theb_6,stat_theb_12,2,undirected
stat_theb_6,stat_theb_3,2,undirected
stat_theb_6,stat_theb_4,5,undirected
stat_theb_6,stat_theb_5,11,undirected
stat_theb_6,stat_theb_7,112,undirected
stat_theb_6,stat_theb_9,108,undirected
stat_theb_7,stat_achill,42,undirected
stat_theb_7,stat_theb_10,41,undirected
stat_theb_7,stat_theb_11,35,undirected
stat_theb_7,stat_theb_12,9,undirected
stat_theb_7,stat_theb_4,33,undirected
stat_theb_7,stat_theb_6,112,undirected
stat_theb_7,stat_theb_9,41,undirected
stat_theb_9,stat_achill,7,undirected
stat_theb_9,stat_silv_2,1,undirected
stat_theb_9,stat_theb_10,3,undirected
stat_theb_9,stat_theb_11,34,undirected
stat_theb_9,stat_theb_4,19,undirected
stat_theb_9,stat_theb_5,2,undirected
stat_theb_9,stat_theb_6,108,undirected
stat_theb_9,stat_theb_7,41,undirected
