Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
15,654,0.8281573356540217,inveniam viam,mortis inveniam viam
144,469,0.6257631320555593,quid hoc,— sed quid hoc
144,494,1.0000000000000002,quid hoc,quid hoc
144,618,1.0000000000000002,quid hoc,quid hoc
380,585,0.808726822065176,nescio quod animus grande praesagit malum,"nescio quod mihi
nescio quod animus grande praesagit malum
ubi es parens"
455,636,1.0,sic sic agendum est,sic sic agendum est
510,515,0.8100178703617611,misera pergis,quo misera pergis
815,469,0.6257631320555593,quid hoc,— sed quid hoc
815,494,1.0000000000000002,quid hoc,quid hoc
815,618,1.0000000000000002,quid hoc,quid hoc
824,469,0.6257631320555593,quid hoc,— sed quid hoc
824,494,1.0000000000000002,quid hoc,quid hoc
824,618,1.0000000000000002,quid hoc,quid hoc
910,494,0.6660361858064046,heu quid hoc,quid hoc
910,618,0.6660361858064046,heu quid hoc,quid hoc
1014,324,0.8132140330602677,quid diem questu tero,cur diem questu tero
1055,259,0.6395611562490848,complectere ossa,complectere aras
