Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
144,178,0.6777398294643427,quid hoc?,"Genitor, quid hoc est?"
144,471,0.8223238774934418,quid hoc?,Sed quid hoc?
387,446,1.0000000000000002,quid quaeris ultra?,Quid quaeris ultra?
565,434,0.6733083980246383,ignave dubitas?,dubitas?
565,532,0.6733083980246383,ignave dubitas?,dubitas?
586,471,0.62078220572352,"scelus est amoris, sed quid hoc?",Sed quid hoc?
727,446,1.0000000000000002,quid quaeris ultra?,Quid quaeris ultra?
746,522,0.6270352156065632,peractum est.,"Bene habet, peractum est:"
815,178,0.6777398294643427,Quid hoc?,"Genitor, quid hoc est?"
815,471,0.8223238774934418,Quid hoc?,Sed quid hoc?
824,178,0.6777398294643427,quid hoc?,"Genitor, quid hoc est?"
824,471,0.8223238774934418,quid hoc?,Sed quid hoc?
838,558,0.6534221676742308,sua perempta dextera mater iacet.,Iacet perempta.
1114,543,0.6862798959039883,parce:,"Iam parce verbis, mater, et parce auribus:"
