Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
4,312,0.5555555555555556,numquid timemur?,numquam excidemus.
4,416,0.5,numquid timemur?,quid sequetur?
28,403,0.5333333333333333,ferae negantur:,Vota tenentur:
80,235,0.55,quae prima querar?,quae maria monstras?
103,52,0.56,tota vix satis est domus:,hoc meis satis est malis?
123,456,0.52,quod iubes fieri nefas?,quod scelus miseri luent?
123,478,0.52,quod iubes fieri nefas?,quid repens affert sonus?
130,5,0.6111111111111112,non ibo inulta:,non ibo in hostes?
146,491,0.75,iam cessat ira.,iam cecidit ira.
147,19,0.56,quid miser langues dolor?,quo virum linques modo?
147,442,0.52,quid miser langues dolor?,quid puellaris furor?
150,490,0.5,quid fragilis ignes?,quid dubitas potens?
179,301,0.5333333333333333,captas amat.,Sic natos amat?
218,382,0.5,nec potest fieri nocens:,temporum flexi vices:
220,442,0.6153846153846154,"quid stupes, segnis furor?",quid puellaris furor?
222,377,0.5,perage dum fervet manus.,dies quaerit manus.
229,83,0.8,NVT.,NVTR.
229,88,0.8,NVT.,NVTR.
242,259,0.5263157894736843,"ut laesa es, dole.",Et caedem et dolos.
253,444,0.5,tacuit infernus canis;,crevit ingenium malis.
274,128,0.5,"altrix, fatebor:",fatebor:
387,442,0.5714285714285714,quid quaeris ultra?,quid puellaris furor?
387,490,0.5,quid quaeris ultra?,quid dubitas potens?
388,441,0.5,"Miserias properant suas
audire miseri;","quid manus poterant rudes
audere magnum?"
392,145,0.625,Non sola maeres.,non sola veni.
425,403,0.5555555555555556,facta inquinentur:,Vota tenentur:
449,461,0.7142857142857143,"Quid, anime, cessas?","quid, anime, titubas?"
450,416,0.5714285714285714,quid stupes?,quid sequetur?
450,490,0.5,quid stupes?,quid dubitas potens?
509,82,0.5,quo.,Cupio.
563,416,0.5,quid ora Sectis?,quid sequetur?
565,91,0.5555555555555556,ignave dubitas?,Profugere dubitas?
635,235,0.55,quid parcis astris?,quae maria monstras?
635,442,0.5238095238095238,quid parcis astris?,quid puellaris furor?
635,490,0.5,quid parcis astris?,quid dubitas potens?
690,87,0.8,iam.,Fiam.
703,192,0.5,unde iste fletus?,ubi se iste fluctus franget?
727,442,0.5714285714285714,quid quaeris ultra?,quid puellaris furor?
727,490,0.5,quid quaeris ultra?,quid dubitas potens?
737,311,1.0,excidimus tibi?,excidimus tibi?
746,458,0.5,peractum est.,"pereant, mei sunt."
746,516,0.5652173913043479,peractum est.,"bene est, peractum est."
765,516,0.5217391304347826,Consumpta mecum est.,"bene est, peractum est."
793,377,0.5238095238095238,nuda sufficiet manus.,dies quaerit manus.
799,234,0.64,quas petam latebras anus?,quas peti terras iubes?
827,234,0.6086956521739131,quis mihi terras dedit?,quas peti terras iubes?
971,484,0.5238095238095238,approba natum prius:,approba populo manum.
973,516,0.625,leve est quod actum est;,"bene est, peractum est."
980,478,0.52,quid sedet pallor genis?,quid repens affert sonus?
1014,416,0.5909090909090908,quid diem questu tero?,quid sequetur?
1016,490,0.55,quid lucem tenes?,quid dubitas potens?
1026,227,0.6,totus huc verget dolor;,totus in vultu est dolor.
1053,461,0.7727272727272727,"quid, anime, trepidas?","quid, anime, titubas?"
1072,287,0.5,Alcmene dabo.,demersos dabo.
1074,444,0.52,cedite his cunctae malis.,crevit ingenium malis.
1107,314,0.5,timent?,timemur.
1114,152,0.5,parce:,Vade:
