Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
80,208,0.5,quae prima querar?,Quae visa portas?
80,630,0.5,quae prima querar?,quo meas lacrimas feram?
105,423,0.5,fletus insequitur minas.,fletus aerumnas levat.
121,467,0.5416666666666667,"quid cessas, dea?",quid iussa cessas agere?
124,327,0.5,"reperi, quid haeres?","misera, quod nato cares."
144,381,0.5,quid hoc?,Quid agis?
144,487,0.6,quid hoc?,quid igne?
146,337,0.5,iam cessat ira.,iam certe perit.
150,487,0.5,quid fragilis ignes?,quid igne?
171,327,0.6153846153846154,"misera, quid cassum times?","misera, quod nato cares."
387,467,0.5,quid quaeris ultra?,quid iussa cessas agere?
392,379,0.5,Non sola maeres.,an sola video?
449,342,0.5,"Quid, anime, cessas?",Quid agimus?
450,241,0.5,quid stupes?,quis proteget?
450,342,0.5,quid stupes?,Quid agimus?
450,381,0.5,quid stupes?,Quid agis?
450,482,0.5,quid stupes?,quos suadet?
450,487,0.5833333333333333,quid stupes?,quid igne?
455,326,0.5238095238095238,"sic, sic agendum est.",tibi gratulandum est.
497,289,0.5333333333333333,Virum sequeris.,unum quaeris:
509,19,0.8,quo.,quod.
510,390,0.5,"misera, pergis?",miserere matris:
511,214,0.5,cur tuas damnas manus?,tum quassans caput:
527,410,0.5217391304347826,pluribus veniae fuit.,spiritus genitor fecit?
548,550,0.5263157894736843,auferre cupiens paelici eripui mihi.,"sortem occupavi, praemium eripui tibi."
563,359,0.625,quid ora Sectis?,quid iam facis?
563,381,0.5,quid ora Sectis?,Quid agis?
565,355,0.7058823529411764,ignave dubitas?,"ingrata, dubitas?"
583,547,0.5,membra quis quatitur rota?,me mea sequentur fata:
635,359,0.5263157894736843,quid parcis astris?,quid iam facis?
704,630,0.5555555555555556,unde in has lacrimae genas?,quo meas lacrimas feram?
706,423,0.5909090909090908,siccus aerumnas tuli.,fletus aerumnas levat.
727,467,0.5,quid quaeris ultra?,quid iussa cessas agere?
743,285,0.6111111111111112,"ubi natus, ubinam?",ubi natus est?
745,330,0.5,gemit:,Intremuit:
746,305,0.5384615384615384,peractum est.,dandum est;
746,629,0.65,peractum est.,bellum peractum est.
799,244,0.5,quas petam latebras anus?,turpisne latebras spernis?
815,342,0.5,Quid hoc?,Quid agimus?
815,381,0.6,Quid hoc?,Quid agis?
815,487,0.5,Quid hoc?,quid igne?
824,381,0.5,quid hoc?,Quid agis?
824,487,0.6,quid hoc?,quid igne?
847,274,0.52,plura quam poscis tulit.,patere quod victor tulit.
864,481,0.5714285714285714,tuis hanc facibus et thalamis para.,quisquam dubius ad thalamos eat.
881,109,0.5185185185185186,Tartara et manes peto.,solita iam et facta expeto.
922,290,0.5294117647058824,en domita omnia.,ego quaero omnia.
962,337,0.5,iam flere pudor est;,iam certe perit.
1016,359,0.5294117647058824,quid lucem tenes?,quid iam facis?
1047,285,0.55,ubi enim negata est?,ubi natus est?
1117,630,0.5,"unde meas inhibet lacrimas
fragor?",quo meas lacrimas feram?
